1,3,5,7,9,11,13,15,19
1,3,5,7,9,11,13,15,18
1,3,5,7,9,11,13,16,19
1,3,5,7,9,11,13,15,19
1,3,5,7,9,11,13,17,18
1,3,5,7,9,11,13,17,18
1,3,6,7,9,11,14,16,19
2,4,5,7,9,11,14,16,19
1,3,5,7,9,11,13,15,19
2,4,6,8,9,11,14,16,19
1,3,6,7,9,11,13,16,19
1,3,5,7,9,11,13,15,19
1,3,5,7,9,11,13,15,19
1,3,6,7,9,12,13,16,19
1,3,5,7,9,11,13,16,19
1,3,5,7,9,11,14,15,19
1,3,5,7,9,11,13,17,18
1,3,5,7,9,11,13,16,19
1,3,5,7,9,11,13,15,18
1,3,5,7,9,11,13,15,19
1,3,5,7,9,11,13,15,19
1,3,5,7,9,11,13,17,19
2,4,6,8,10,12,14,16,19
2,3,5,7,9,12,13,16,19
2,4,6,8,10,12,14,16,19
2,4,6,8,10,12,14,16,19
2,4,6,8,10,12,14,16,19
2,4,6,8,10,12,14,15,19
2,4,6,8,10,12,14,15,19
2,4,6,8,10,12,13,15,19
2,4,6,8,10,12,14,15,19
2,4,6,8,10,12,14,16,19
2,4,6,8,10,12,14,15,19
2,4,6,8,10,12,14,16,19
2,4,6,8,10,12,14,16,19
1,3,5,7,9,11,13,15,18
1,4,6,8,10,12,14,16,19
1,3,5,7,9,11,13,16,18
2,4,5,8,10,12,14,16,19
1,3,5,7,9,11,13,15,19
1,3,5,7,9,11,13,16,19
2,4,5,8,10,12,14,16,19
1,3,5,7,9,11,13,17,18
1,3,5,7,9,11,13,17,18
1,3,5,7,9,11,13,17,18
1,3,5,7,9,11,13,17,18
1,3,5,7,9,12,13,15,19
1,3,5,7,9,11,13,16,18
1,3,5,7,9,11,13,17,18
1,4,6,8,10,12,14,16,19
1,3,5,7,9,11,13,17,18
1,3,5,7,9,11,13,15,18
1,3,5,7,9,11,13,15,19
1,3,5,7,9,11,13,16,19
1,3,5,7,9,11,13,15,18
1,3,6,7,9,12,13,16,18
1,3,5,7,9,11,13,15,18
1,3,5,7,9,11,13,15,18
1,3,5,7,9,11,13,17,18
1,3,5,7,9,11,13,16,18
1,3,5,7,9,11,13,15,18
1,3,5,7,9,11,13,15,19
1,3,5,7,9,12,13,16,19
1,3,5,7,9,11,13,15,18
1,3,5,7,9,11,13,15,18
